n,primes_count,k_primes_count,theoretical_rate,empirical_rate,one_over_n,rate_times_n
6,8,1,0.125,0.1244,0.16666666666666666,0.75
10,21,2,0.09523809523809523,0.0929,0.1,0.9523809523809523
20,70,4,0.05714285714285714,0.0589,0.05,1.1428571428571428
50,352,8,0.022727272727272728,0.0218,0.02,1.1363636363636365
100,1204,14,0.011627906976744186,0.0111,0.01,1.1627906976744187
200,4157,24,0.005773394274717345,0.0045,0.005,1.154678854943469
300,8651,34,0.003930181481909606,0.0034,0.0033333333333333335,1.1790544445728817
400,14605,44,0.003012666894899007,0.0033,0.0025,1.2050667579596028
500,21949,53,0.002414688596291403,0.0022,0.002,1.2073442981457014
600,30648,62,0.0020229705037849125,0.0027,0.0016666666666666668,1.2137823022709475
700,40641,70,0.0017223985630274846,0.0016,0.0014285714285714286,1.2056789941192392
800,51935,79,0.0015211321844613458,0.0021,0.00125,1.2169057475690768
900,64529,87,0.001348231027909932,0.0019,0.0011111111111111111,1.213407925118939
1000,78330,96,0.0012255840674071238,0.0014,0.001,1.2255840674071237
